from_x,from_y,to_x,to_y,depth_min,risk_index,wave_size,wind_speed, 
0,0,1,0,18.64,0.06,4.24,19.81
1,0,0,0,5.69,0.741,4.59,24.09
0,0,0,1,28.76,0.114,1.09,28.79
0,1,0,0,22.97,0.067,2.33,24.55
0,1,1,1,25.27,0.557,4.52,19.4
1,1,0,1,26.03,0.974,3.95,25.01
0,1,0,2,21.34,0.808,2.29,21.49
0,2,0,1,33.03,0.327,3.61,15.34
0,2,1,2,17.31,0.423,1.13,10.41
1,2,0,2,10.25,0.774,2.54,8.31
0,2,0,3,16.37,0.722,1.99,14.6
0,3,0,2,23.39,0.314,4.25,13.22
0,3,1,3,21.67,0.596,0.59,16.9
1,3,0,3,30.13,0.141,1.8,13.96
0,3,0,4,17.27,0.367,3.1,0.94
0,4,0,3,15.16,0.668,4.84,25.08
0,4,1,4,20.61,0.892,3.96,19.01
1,4,0,4,23.3,0.69,2.89,12.58
0,4,0,5,45.51,0.88,3.47,26.09
0,5,0,4,49.67,0.211,4.04,10.52
0,5,1,5,44.51,0.559,1.54,29.19
1,5,0,5,23.23,0.41,1.34,3.57
0,5,0,6,24.34,0.552,1.4,7.89
0,6,0,5,28.53,0.234,1.87,19.17
0,6,1,6,32.25,0.07,4.62,7.13
1,6,0,6,13.98,0.903,2.09,18.49
0,6,0,7,8.44,0.506,0.89,10.11
0,7,0,6,43.7,0.14,4.09,26.32
0,7,1,7,19.04,0.64,3.38,13.99
1,7,0,7,36.78,0.6,1.35,3.23
0,7,0,8,48.46,0.685,4.2,26.44
0,8,0,7,48.26,0.795,4.29,11.41
0,8,1,8,36.44,0.508,0.69,26.99
1,8,0,8,8.71,0.397,3.99,11.29
0,8,0,9,35.83,0.2,4.61,5.67
0,9,0,8,46.14,0.076,4.96,24.7
0,9,1,9,43.61,0.477,2.4,27.61
1,9,0,9,42.36,0.844,3.22,24.37
0,9,0,10,25.72,0.731,3.55,29.75
0,10,0,9,43.05,0.144,1.8,9.44
0,10,1,10,34.72,0.961,2.16,5.96
1,10,0,10,20.06,0.94,2.73,6.0
0,10,0,11,30.17,0.181,2.67,1.66
0,11,0,10,44.31,0.246,1.25,27.23
0,11,1,11,8.99,0.992,0.17,10.21
1,11,0,11,8.73,0.341,0.71,24.68
0,11,0,12,19.78,0.682,2.22,27.22
0,12,0,11,10.55,0.951,4.08,5.53
0,12,1,12,43.35,0.763,4.03,8.6
1,12,0,12,27.51,0.873,0.3,11.68
0,12,0,13,41.12,0.828,2.91,28.72
0,13,0,12,42.66,0.449,1.48,12.03
0,13,1,13,10.04,0.16,1.24,1.71
1,13,0,13,38.46,0.259,1.07,28.43
0,13,0,14,22.7,0.099,3.4,20.09
0,14,0,13,38.19,0.087,3.36,12.08
0,14,1,14,44.02,0.021,0.28,28.36
1,14,0,14,26.01,0.397,0.93,22.05
0,14,0,15,12.57,0.493,3.31,28.18
0,15,0,14,5.24,0.036,2.7,19.76
0,15,1,15,22.83,0.095,3.21,16.53
1,15,0,15,49.59,0.328,1.11,20.64
0,15,0,16,44.29,0.301,0.86,28.05
0,16,0,15,35.98,0.571,0.41,25.52
0,16,1,16,29.58,0.235,2.67,26.76
1,16,0,16,5.4,0.613,0.63,5.02
0,16,0,17,31.88,0.66,4.17,1.31
0,17,0,16,39.28,0.069,0.56,16.22
0,17,1,17,16.49,0.755,3.5,10.51
1,17,0,17,42.29,0.801,4.19,14.81
0,17,0,18,36.55,0.898,3.15,19.96
0,18,0,17,35.93,0.549,4.04,11.39
0,18,1,18,32.58,0.309,1.85,13.41
1,18,0,18,39.64,0.539,4.91,6.66
0,18,0,19,25.26,0.022,2.03,3.75
0,19,0,18,49.5,0.264,4.97,3.01
0,19,1,19,16.06,0.858,1.78,16.17
1,19,0,19,25.73,0.333,1.41,3.02
0,19,0,20,43.95,0.363,1.3,19.05
0,20,0,19,7.55,0.168,4.89,28.85
0,20,1,20,12.75,0.187,0.06,1.49
1,20,0,20,13.99,0.326,1.4,19.02
0,20,0,21,46.33,0.693,4.68,12.33
0,21,0,20,43.54,0.191,4.74,24.76
0,21,1,21,49.45,0.188,4.5,3.46
1,21,0,21,13.88,0.106,3.37,6.95
0,21,0,22,16.82,0.532,0.04,22.04
0,22,0,21,36.39,0.82,3.6,5.81
0,22,1,22,35.61,0.718,3.04,9.2
1,22,0,22,20.66,0.543,0.15,14.96
0,22,0,23,20.15,0.013,4.05,26.3
0,23,0,22,44.04,0.849,0.2,5.72
0,23,1,23,43.02,0.087,4.03,3.65
1,23,0,23,30.13,0.199,1.55,7.67
0,23,0,24,36.17,0.447,4.81,17.5
0,24,0,23,20.01,0.1,3.4,6.37
0,24,1,24,42.2,0.77,4.22,5.7
1,24,0,24,22.13,0.698,2.04,16.08
0,24,0,25,21.69,0.327,0.37,1.79
0,25,0,24,7.39,0.714,0.65,27.85
0,25,1,25,5.62,0.667,0.13,28.82
1,25,0,25,32.22,0.152,0.15,10.01
0,25,0,26,17.12,0.917,0.26,3.83
0,26,0,25,37.95,0.312,2.14,16.67
0,26,1,26,36.96,0.154,3.29,11.21
1,26,0,26,24.74,0.054,1.85,4.26
0,26,0,27,14.94,0.871,4.56,11.58
0,27,0,26,41.07,0.545,3.65,20.45
0,27,1,27,41.33,0.976,0.47,21.39
1,27,0,27,40.88,0.096,1.78,4.36
0,27,0,28,44.44,0.46,3.3,5.33
0,28,0,27,11.37,0.902,1.14,22.61
0,28,1,28,11.31,0.14,2.68,0.54
1,28,0,28,17.41,0.666,3.37,12.97
